appid,tags
3320,Action;Addictive;Aliens;Casual;Classic;Clicker;Colorful;Cute;Difficult;Family Friendly;Funny;Great Soundtrack;Management;Point & Click;Psychological Horror;Relaxing;Simulation;Singleplayer;Strategy;Underwater
3330,2D;Action;Addictive;Arcade;Casual;Classic;Colorful;Cute;Difficult;Family Friendly;Funny;Indie;Match 3;Physics;Puzzle;Replay Value;Retro;Shooter;Singleplayer;Strategy
3340,Casual;Puzzle;Singleplayer
3350,Casual;Classic;Match 3;Puzzle;Singleplayer
3360,Arcade;Casual;Match 3;Puzzle
3380,Casual;Dinosaurs;Match 3;Puzzle
3390,2D;Action;Arcade;Casual;Family Friendly;Nostalgia;Psychological Horror;Singleplayer;Survival;Underwater
3400,Arcade;Casual
3410,2D;Action;Arcade;Bullet Hell;Casual;Shoot 'Em Up;Side Scroller;Singleplayer
3420,Casual;Cute
3430,Casual;Puzzle
3450,Casual;Education;Typing
3460,Casual;Puzzle
3480,2D;Addictive;Arcade;Casual;Classic;Cult Classic;Difficult;Family Friendly;Funny;Great Soundtrack;Local Co-Op;Local Multiplayer;Mouse only;Multiplayer;Physics;Pinball;Puzzle;Relaxing;Singleplayer;Strategy
3483,2D;Action;Arcade;Casual;Classic;Free to Play;Hentai;Mouse only;Psychological Horror;Puzzle;Singleplayer
3490,Casual;Puzzle
3500,Casual;Hidden Object
3510,Casual;Hidden Object;Puzzle
3520,Casual;Crime;Heist;Hidden Object;Mystery;Point & Click;Puzzle;Singleplayer;Text-Based
3530,Casual;Hidden Object;Puzzle
3540,2D;Addictive;Arcade;Casual;Classic;Mouse only;Psychological Horror;Puzzle;Singleplayer;Strategy
3560,Casual;Great Soundtrack;Match 3;Puzzle;Singleplayer;Strategy
3570,Casual;Hidden Object
3580,Casual;Hidden Object;Puzzle
3590,2D;Addictive;Adventure;Casual;Classic;Comedy;Cute;Family Friendly;Funny;Great Soundtrack;Indie;Post-apocalyptic;Puzzle;Singleplayer;Strategy;Survival;Tactical;Touch-Friendly;Tower Defense;Zombies
3600,Adventure;Casual;Hidden Object;Point & Click;Puzzle
3610,Casual;Hidden Object
3620,2D;Action;Addictive;Arcade;Casual;Classic;Colorful;Difficult;Family Friendly;Indie;Match 3;Puzzle;Singleplayer
3700,Action;Classic;Co-op;Cold War;Controller;FPS;Military;Multiplayer;Online Co-Op;Open World;Shooter;Simulation;Singleplayer;Sniper;Stealth;Tactical;Third Person;Third-Person Shooter;War;World War II
3710,Action;Classic;Comic Book;Cyberpunk;Dystopian ;First-Person;FPS;Gore;Multiplayer;Sci-fi;Shooter;Singleplayer;Story Rich
3720,Base-Building;Building;Classic;Colorful;Comedy;Cult Classic;Female Protagonist;Funny;God Game;Great Soundtrack;Management;Parody ;Real-Time with Pause;RTS;Sandbox;Simulation;Singleplayer;Strategy;Stylized;Villain Protagonist
3730,1990's;Action;Aliens;Atmospheric;Boomer Shooter;Classic;Cult Classic;Fast-Paced;First-Person;FPS;Gore;Horror;Multiplayer;Old School;Retro;Sci-fi;Shooter;Singleplayer;Stealth;Survival
3800,Action;Classic;Great Soundtrack;Sci-fi;Singleplayer;Space;Story Rich;Third Person;Third-Person Shooter
3810,Action;Cult Classic;Dark;Female Protagonist;Gore;Hack and Slash;Horror;Mature;Singleplayer;Supernatural;Third Person;Third-Person Shooter;Vampire;World War II
3820,Action;Classic;Female Protagonist;Gore;Hack and Slash;Horror;Nudity;Singleplayer;Third Person;Vampire
3830,3D;3D Platformer;Action;Action-Adventure;Adventure;Cartoony;Classic;Collectathon;Comedy;Cult Classic;Exploration;Funny;Great Soundtrack;Indie;Platformer;Psychological;Singleplayer;Story Rich;Surreal;Third Person
3900,4X;Addictive;Classic;Economy;Grand Strategy;Great Soundtrack;Historical;Local Multiplayer;Management;Moddable;Multiplayer;Replay Value;Resource Management;Simulation;Singleplayer;Strategy;Tactical;Turn-Based;Turn-Based Strategy;War
3910,4X;Addictive;Alternate History;City Builder;Classic;Diplomacy;Exploration;Grand Strategy;Historical;Isometric;Military;Multiplayer;Old School;Replay Value;Simulation;Singleplayer;Strategy;Turn-Based;Turn-Based Strategy;War
3920,Action;Adventure;Atmospheric;Choose Your Own Adventure;Classic;Economy;Exploration;Fighting;Historical;Naval;Naval Combat;Open World;Pirates;Remake;RPG;Sailing;Sandbox;Singleplayer;Strategy;Trading
3960,Strategy;Turn-Based Strategy
3980,City Builder;Historical;Rome;Sandbox;Simulation;Singleplayer;Strategy
3990,4X;Grand Strategy;Historical;Local Multiplayer;Multiplayer;Singleplayer;Strategy;Turn-Based;Turn-Based Strategy
4000,Action;Building;Casual;Co-op;Comedy;Exploration;First-Person;FPS;Funny;Indie;Moddable;Multiplayer;Online Co-Op;Physics;PvP;Realistic;Sandbox;Shooter;Simulation;Singleplayer
4100,Card Game;Casual;Gambling;Indie;Strategy
4230,Automobile Sim;Driving;Racing;Simulation
4290,Automobile Sim;Driving;Racing;Simulation
4300,Action;Indie;Physics;Puzzle;Robots
4420,Action;Action RPG;Character Customization;Fantasy;Female Protagonist;Hack and Slash;Loot;RPG
4460,City Builder;Simulation;Strategy
4470,Action;Action RPG;Fantasy;Hack and Slash;Loot;RPG
4520,Action;Military;Real Time Tactics;Shooter;Simulation;Singleplayer;Strategy;Tactical
4530,Action;Gore;Military;Singleplayer;Strategy;Tactical
4560,Action;Addictive;Base-Building;Classic;Co-op;Epic;Historical;Military;Moddable;Multiplayer;RTS;Simulation;Singleplayer;Strategy;Tactical;Tanks;Team-Based;Violent;War;World War II
4570,Action;Base-Building;Classic;Epic;Fantasy;Futuristic;Games Workshop;Gore;Great Soundtrack;Multiplayer;Real-Time;RTS;Sci-fi;Singleplayer;Story Rich;Strategy;Tactical;Violent;War;Warhammer 40K
4700,4X;Action;Classic;Grand Strategy;Great Soundtrack;Historical;Medieval;Military;Moddable;Multiplayer;Real Time Tactics;RTS;Sandbox;Simulation;Singleplayer;Strategy;Tactical;Turn-Based;Turn-Based Strategy;War
4770,Classic;Grand Strategy;Historical;Multiplayer;Rome;RTS;Singleplayer;Strategy;Tactical;Turn-Based;Turn-Based Strategy
4780,Classic;Grand Strategy;Great Soundtrack;Historical;Medieval;Moddable;Multiplayer;RTS;Singleplayer;Strategy;Turn-Based;Turn-Based Strategy;War
4800,Dwarf;Fantasy;Multiplayer;RPG;RTS;Singleplayer;Strategy
4850,Classic;Free to Play;Historical;Multiplayer;Nostalgia;RTS;Singleplayer;Strategy;War
4870,2D;Base-Building;CRPG;Difficult;Economy;Grand Strategy;Gun Customization;Historical;Party-Based RPG;Procedural Generation;Real-Time;RPG;RTS;Strategy;Strategy RPG;Stylized;Top-Down;Turn-Based Combat;Turn-Based Tactics;Wargame
4880,Classic;Historical;RTS;Singleplayer;Strategy
4890,Historical;RTS;Singleplayer;Strategy;War
4900,Casual;Free to Play;Indie;Puzzle;Relaxing;Singleplayer
4920,Action;Adventure;Aliens;Atmospheric;Co-op;Competitive;First-Person;FPS;Futuristic;Indie;Moddable;Multiplayer;Online Co-Op;RTS;Sci-fi;Shooter;Space;Strategy;Tactical;Team-Based
6000,Action;Adventure;Atmospheric;Classic;Co-op;Dark;Epic;First-Person;FPS;Futuristic;Great Soundtrack;Multiplayer;Sci-fi;Shooter;Singleplayer;Space;Strategy;Tactical;Team-Based;War
6010,1990's;2D;Action;Action-Adventure;Adventure;Atmospheric;Classic;Cult Classic;Funny;Great Soundtrack;Movie;Old School;Pixel Graphics;Point & Click;Puzzle;Remake;Retro;Singleplayer;Story Rich
